========================================
Neural Network Configuration
========================================
Chargement de 100 échantillons.
Input dimension: 2
Hidden dimension: 10
Output dimension: 2
Epochs: 20000
Training mode: Mini-batch (size=64)
========================================
Mini-batch training: batch_size=64, num_batches=2
Loss après epoch 0: 0.613148
Loss après epoch 100: 0.410756
Loss après epoch 200: 0.370243
Loss après epoch 300: 0.352348
Loss après epoch 400: 0.342412
Loss après epoch 500: 0.336069
Loss après epoch 600: 0.331861
Loss après epoch 700: 0.328723
Loss après epoch 800: 0.326271
Loss après epoch 900: 0.324213
Loss après epoch 1000: 0.322337
Loss après epoch 1100: 0.320541
Loss après epoch 1200: 0.318715
Loss après epoch 1300: 0.316823
Loss après epoch 1400: 0.314833
Loss après epoch 1500: 0.312714
Loss après epoch 1600: 0.310451
Loss après epoch 1700: 0.308041
Loss après epoch 1800: 0.305408
Loss après epoch 1900: 0.302624
Loss après epoch 2000: 0.299640
Loss après epoch 2100: 0.296485
Loss après epoch 2200: 0.293104
Loss après epoch 2300: 0.289538
Loss après epoch 2400: 0.285836
Loss après epoch 2500: 0.281942
Loss après epoch 2600: 0.277938
Loss après epoch 2700: 0.273788
Loss après epoch 2800: 0.269503
Loss après epoch 2900: 0.265080
Loss après epoch 3000: 0.260666
Loss après epoch 3100: 0.256185
Loss après epoch 3200: 0.251691
Loss après epoch 3300: 0.247264
Loss après epoch 3400: 0.242785
Loss après epoch 3500: 0.238302
Loss après epoch 3600: 0.233900
Loss après epoch 3700: 0.229557
Loss après epoch 3800: 0.225293
Loss après epoch 3900: 0.221104
Loss après epoch 4000: 0.217022
Loss après epoch 4100: 0.213022
Loss après epoch 4200: 0.209153
Loss après epoch 4300: 0.205321
Loss après epoch 4400: 0.201642
Loss après epoch 4500: 0.198020
Loss après epoch 4600: 0.194515
Loss après epoch 4700: 0.191148
Loss après epoch 4800: 0.187911
Loss après epoch 4900: 0.184709
Loss après epoch 5000: 0.181631
Loss après epoch 5100: 0.178641
Loss après epoch 5200: 0.175764
Loss après epoch 5300: 0.172981
Loss après epoch 5400: 0.170254
Loss après epoch 5500: 0.167609
Loss après epoch 5600: 0.165081
Loss après epoch 5700: 0.162633
Loss après epoch 5800: 0.160242
Loss après epoch 5900: 0.157929
Loss après epoch 6000: 0.155680
