========================================
Neural Network Configuration
========================================
Chargement de 100 échantillons.
Input dimension: 2
Hidden dimension: 10
Output dimension: 2
Epochs: 20000
Training mode: Mini-batch (size=32)
========================================
Mini-batch training: batch_size=32, num_batches=4
Loss après epoch 0: 0.606818
Loss après epoch 100: 0.370152
Loss après epoch 200: 0.342156
Loss après epoch 300: 0.331664
Loss après epoch 400: 0.326665
Loss après epoch 500: 0.323570
Loss après epoch 600: 0.319354
Loss après epoch 700: 0.315660
Loss après epoch 800: 0.311679
Loss après epoch 900: 0.307144
Loss après epoch 1000: 0.301760
Loss après epoch 1100: 0.295533
Loss après epoch 1200: 0.288696
Loss après epoch 1300: 0.281909
Loss après epoch 1400: 0.273068
Loss après epoch 1500: 0.264755
Loss après epoch 1600: 0.256718
Loss après epoch 1700: 0.247519
Loss après epoch 1800: 0.238790
Loss après epoch 1900: 0.230437
Loss après epoch 2000: 0.222152
Loss après epoch 2100: 0.214332
Loss après epoch 2200: 0.206992
Loss après epoch 2300: 0.200477
Loss après epoch 2400: 0.193263
Loss après epoch 2500: 0.187010
Loss après epoch 2600: 0.182098
Loss après epoch 2700: 0.175985
Loss après epoch 2800: 0.170820
Loss après epoch 2900: 0.165805
Loss après epoch 3000: 0.161437
Loss après epoch 3100: 0.157127
Loss après epoch 3200: 0.153211
Loss après epoch 3300: 0.149776
Loss après epoch 3400: 0.146053
Loss après epoch 3500: 0.143103
Loss après epoch 3600: 0.139478
Loss après epoch 3700: 0.136397
Loss après epoch 3800: 0.133851
Loss après epoch 3900: 0.131028
Loss après epoch 4000: 0.128478
Loss après epoch 4100: 0.126247
Loss après epoch 4200: 0.124192
Loss après epoch 4300: 0.121859
Loss après epoch 4400: 0.119900
Loss après epoch 4500: 0.117890
Loss après epoch 4600: 0.115949
Loss après epoch 4700: 0.114258
Loss après epoch 4800: 0.112600
Loss après epoch 4900: 0.111058
Loss après epoch 5000: 0.110157
Loss après epoch 5100: 0.108099
Loss après epoch 5200: 0.106918
Loss après epoch 5300: 0.105547
Loss après epoch 5400: 0.104068
Loss après epoch 5500: 0.102913
Loss après epoch 5600: 0.101703
Loss après epoch 5700: 0.100829
Loss après epoch 5800: 0.099647
Loss après epoch 5900: 0.098559
Loss après epoch 6000: 0.097701
Loss après epoch 6100: 0.096689
Loss après epoch 6200: 0.095778
Loss après epoch 6300: 0.094829
Loss après epoch 6400: 0.093958
Loss après epoch 6500: 0.093060
Loss après epoch 6600: 0.092223
Loss après epoch 6700: 0.091567
Loss après epoch 6800: 0.091207
Loss après epoch 6900: 0.090014
Loss après epoch 7000: 0.089474
Loss après epoch 7100: 0.088632
Loss après epoch 7200: 0.087927
Loss après epoch 7300: 0.087252
Loss après epoch 7400: 0.086817
Loss après epoch 7500: 0.086028
Loss après epoch 7600: 0.085452
Loss après epoch 7700: 0.084812
Loss après epoch 7800: 0.084738
Loss après epoch 7900: 0.083759
Loss après epoch 8000: 0.083203
Loss après epoch 8100: 0.082677
Loss après epoch 8200: 0.082443
Loss après epoch 8300: 0.081700
Loss après epoch 8400: 0.081383
Loss après epoch 8500: 0.080853
Loss après epoch 8600: 0.080462
Loss après epoch 8700: 0.080020
Loss après epoch 8800: 0.079497
Loss après epoch 8900: 0.079262
Loss après epoch 9000: 0.078774
Loss après epoch 9100: 0.078431
Loss après epoch 9200: 0.078184
Loss après epoch 9300: 0.078507
Loss après epoch 9400: 0.077377
Loss après epoch 9500: 0.077059
Loss après epoch 9600: 0.076525
Loss après epoch 9700: 0.076155
Loss après epoch 9800: 0.075769
Loss après epoch 9900: 0.075467
Loss après epoch 10000: 0.075361
Loss après epoch 10100: 0.074918
Loss après epoch 10200: 0.074524
Loss après epoch 10300: 0.075056
Loss après epoch 10400: 0.074060
Loss après epoch 10500: 0.073803
Loss après epoch 10600: 0.073292
Loss après epoch 10700: 0.073569
Loss après epoch 10800: 0.073784
Loss après epoch 10900: 0.072606
Loss après epoch 11000: 0.072282
Loss après epoch 11100: 0.071972
Loss après epoch 11200: 0.071748
Loss après epoch 11300: 0.071512
Loss après epoch 11400: 0.071364
Loss après epoch 11500: 0.071068
Loss après epoch 11600: 0.070969
Loss après epoch 11700: 0.070814
Loss après epoch 11800: 0.070442
Loss après epoch 11900: 0.070262
Loss après epoch 12000: 0.070355
Loss après epoch 12100: 0.069809
Loss après epoch 12200: 0.069598
Loss après epoch 12300: 0.069335
Loss après epoch 12400: 0.069158
Loss après epoch 12500: 0.068936
Loss après epoch 12600: 0.068919
Loss après epoch 12700: 0.068584
Loss après epoch 12800: 0.068589
Loss après epoch 12900: 0.068360
Loss après epoch 13000: 0.068119
Loss après epoch 13100: 0.067918
Loss après epoch 13200: 0.067729
Loss après epoch 13300: 0.067720
Loss après epoch 13400: 0.067549
Loss après epoch 13500: 0.067246
Loss après epoch 13600: 0.067115
Loss après epoch 13700: 0.066996
Loss après epoch 13800: 0.066839
Loss après epoch 13900: 0.066625
Loss après epoch 14000: 0.066722
Loss après epoch 14100: 0.066484
Loss après epoch 14200: 0.066583
Loss après epoch 14300: 0.066139
Loss après epoch 14400: 0.066072
Loss après epoch 14500: 0.065984
Loss après epoch 14600: 0.065692
Loss après epoch 14700: 0.065542
Loss après epoch 14800: 0.065414
Loss après epoch 14900: 0.065270
Loss après epoch 15000: 0.065147
Loss après epoch 15100: 0.065616
Loss après epoch 15200: 0.064906
Loss après epoch 15300: 0.064820
Loss après epoch 15400: 0.064669
Loss après epoch 15500: 0.064546
Loss après epoch 15600: 0.064568
Loss après epoch 15700: 0.064412
Loss après epoch 15800: 0.064234
Loss après epoch 15900: 0.064268
Loss après epoch 16000: 0.064103
Loss après epoch 16100: 0.064207
Loss après epoch 16200: 0.063830
Loss après epoch 16300: 0.063708
Loss après epoch 16400: 0.063644
Loss après epoch 16500: 0.063508
Loss après epoch 16600: 0.063494
Loss après epoch 16700: 0.063320
Loss après epoch 16800: 0.063302
Loss après epoch 16900: 0.063165
Loss après epoch 17000: 0.063083
Loss après epoch 17100: 0.063001
Loss après epoch 17200: 0.062879
Loss après epoch 17300: 0.063290
Loss après epoch 17400: 0.062641
Loss après epoch 17500: 0.062704
Loss après epoch 17600: 0.062487
Loss après epoch 17700: 0.062463
Loss après epoch 17800: 0.062388
Loss après epoch 17900: 0.062332
Loss après epoch 18000: 0.062196
Loss après epoch 18100: 0.062224
Loss après epoch 18200: 0.062305
Loss après epoch 18300: 0.061959
Loss après epoch 18400: 0.061888
Loss après epoch 18500: 0.062240
Loss après epoch 18600: 0.061722
Loss après epoch 18700: 0.061719
Loss après epoch 18800: 0.061644
Loss après epoch 18900: 0.061572
Loss après epoch 19000: 0.061399
Loss après epoch 19100: 0.061351
Loss après epoch 19200: 0.061296
Loss après epoch 19300: 0.061262
Loss après epoch 19400: 0.061456
Loss après epoch 19500: 0.061100
Loss après epoch 19600: 0.061472
Loss après epoch 19700: 0.061043
