========================================
Neural Network Configuration
========================================
Chargement de 100 échantillons.
Input dimension: 2
Hidden dimension: 10
Output dimension: 2
Epochs: 20000
Training mode: Mini-batch (size=16)
========================================
Mini-batch training: batch_size=16, num_batches=7
Loss après epoch 18200: 0.057424
Loss après epoch 18300: 0.057296
Loss après epoch 18400: 0.057296
Loss après epoch 18500: 0.057376
Loss après epoch 18600: 0.057211
Loss après epoch 18700: 0.057207
Loss après epoch 18800: 0.057151
Loss après epoch 18900: 0.057139
Loss après epoch 19000: 0.057063
Loss après epoch 19100: 0.057050
Loss après epoch 19200: 0.057031
Loss après epoch 19300: 0.057016
Loss après epoch 19400: 0.057058
Loss après epoch 19500: 0.056962
Loss après epoch 19600: 0.057041
Loss après epoch 19700: 0.056918
Loss après epoch 19800: 0.056881
Loss après epoch 19900: 0.056934
Poids sauvegardés dans W1.txt, b1.txt, W2.txt, b2.txt
========================================
Training completed!
========================================
